Date,CumulativeConsumption
2016-01-01,215.75
2016-01-02,216.65
2016-01-03,217.5
2016-01-04,218.4
2016-01-05,219.3
2016-01-06,220.15
2016-01-07,221.05
2016-01-08,223.35
2016-01-09,228.05
2016-01-10,232.85
2016-01-11,240.7
2016-01-12,244.5
2016-01-13,252.35
2016-01-14,258.25
2016-01-15,263.45
2016-01-16,267.4
2016-01-17,275
2016-01-18,281.25
2016-01-19,284.9
2016-01-20,288.6
2016-01-21,292.2
2016-01-22,295.05
2016-01-23,298.85
2016-01-24,304.55
2016-01-25,309.4
2016-01-26,315.65
2016-01-27,318.65
2016-01-28,323.65
2016-01-29,326.45
2016-01-30,330.95
2016-01-31,334.25
2016-02-01,338.65
2016-02-02,342.35
2016-02-03,345.7
2016-02-04,350.1
2016-02-05,353.1
2016-02-06,356.5
2016-02-07,361.55
2016-02-08,368
2016-02-09,372
2016-02-10,376.1
2016-02-11,381.85
2016-02-12,384.6
2016-02-13,387.1
2016-02-14,395.35
2016-02-15,403.85
2016-02-16,407.8
2016-02-17,413.5
2016-02-18,416.5
2016-02-19,419.6
2016-02-20,427.2
2016-02-21,428.55
2016-02-22,429.45
2016-02-23,430.4
2016-02-24,431.25
2016-02-25,432.1
2016-02-26,432.95
2016-02-27,433.8
2016-02-28,434.6
2016-02-29,436.6
2016-03-01,441
2016-03-02,444.1
2016-03-03,447.1
2016-03-04,451.75
2016-03-05,454.5
2016-03-06,458.5
2016-03-07,463.7
2016-03-08,468.85
2016-03-09,472.6
2016-03-10,479.4
2016-03-11,481.8
2016-03-12,482.55
2016-03-13,483.25
2016-03-14,483.9
2016-03-15,484.6
2016-03-16,487.05
2016-03-17,492.45
2016-03-18,494.65
2016-03-19,497
2016-03-20,506.4
2016-03-21,512.4
2016-03-22,516.95
2016-03-23,520.15
2016-03-24,523.35
2016-03-25,525.35
2016-03-26,527.1
2016-03-27,528.75
2016-03-28,530.45
2016-03-29,532.15
2016-03-30,533.85
2016-03-31,535.55
2016-04-01,537.2
2016-04-02,538.9
2016-04-03,540.6
2016-04-04,544
2016-04-05,546.75
2016-04-06,549.35
2016-04-07,553.85
2016-04-08,559.8
2016-04-09,562.55
2016-04-10,565.9
2016-04-11,571.65
2016-04-12,574.8
2016-04-13,579.15
2016-04-14,583.85
2016-04-15,587.55
2016-04-16,591.25
2016-04-17,594.55
2016-04-18,598.05
2016-04-19,601.05
2016-04-20,607.3
2016-04-21,614.9
2016-04-22,624.65
2016-04-23,626.75
2016-04-24,629.45
2016-04-25,636.8
2016-04-26,640.95
2016-04-27,643.7
2016-04-28,648.05
2016-04-29,651.25
2016-04-30,655.75
2016-05-01,656.85
2016-05-02,657.95
2016-05-03,659.05
2016-05-04,662.35
2016-05-05,664.95
2016-05-06,667.45
2016-05-07,670.3
2016-05-08,674.7
2016-05-09,678.5
2016-05-10,680.7
2016-05-11,682.7
2016-05-12,688.05
2016-05-13,690.35
2016-05-14,692.75
2016-05-15,701.85
2016-05-16,704.4
2016-05-17,707.5
2016-05-18,712.25
2016-05-19,715.25
2016-05-20,718.45
2016-05-21,720.4
2016-05-22,727.5
2016-05-23,731.8
2016-05-24,737.6
2016-05-25,745.15
2016-05-26,750.15
2016-05-27,752.95
2016-05-28,755.95
2016-05-29,759.05
2016-05-30,763.05
2016-05-31,769.35
2016-06-01,775.45
2016-06-02,782.05
2016-06-03,785.2
2016-06-04,786.85
2016-06-05,788.05
2016-06-06,789.75
2016-06-07,795.3
2016-06-08,803.1
2016-06-09,806.55
2016-06-10,809.3
2016-06-11,812.45
2016-06-12,814.45
2016-06-13,816.9
2016-06-14,821.85
2016-06-15,824.85
2016-06-16,828
2016-06-17,830.25
2016-06-18,834.8
2016-06-19,838.35
2016-06-20,844.05
2016-06-21,849.45
2016-06-22,852.25
2016-06-23,856.65
2016-06-24,859
2016-06-25,861.25
2016-06-26,867.35
2016-06-27,870.2
2016-06-28,872.55
2016-06-29,875.1
2016-06-30,877.85
2016-07-01,883.05
2016-07-02,885.1
2016-07-03,886.5
2016-07-04,887.95
2016-07-05,889.95
2016-07-06,892.55
2016-07-07,895.95
2016-07-08,898.15
2016-07-09,901.05
2016-07-10,904.15
2016-07-11,909.2
2016-07-12,914.7
2016-07-13,921.55
2016-07-14,925
2016-07-15,928.35
2016-07-16,930.8
2016-07-17,934.25
2016-07-18,941.55
2016-07-19,944.9
2016-07-20,948.3
2016-07-21,951.9
2016-07-22,956.3
2016-07-23,959.45
2016-07-24,964.05
2016-07-25,969.1
2016-07-26,975.6
2016-07-27,979.6
2016-07-28,982.95
2016-07-29,986.15
2016-07-30,989.2
2016-07-31,992.2
2016-08-01,995.55
2016-08-02,1000
2016-08-03,1003.6
2016-08-04,1012.35
2016-08-05,1018.85
2016-08-06,1022.2
2016-08-07,1026.2
2016-08-08,1030.95
2016-08-09,1034.8
2016-08-10,1038.45
2016-08-11,1041.7
2016-08-12,1045.2
2016-08-13,1048.75
2016-08-14,1052.75
2016-08-15,1059.55
2016-08-16,1065.6
2016-08-17,1069.25
2016-08-18,1076.85
2016-08-19,1080.3
2016-08-20,1085.55
2016-08-21,1090.05
2016-08-22,1097.7
2016-08-23,1101.4
2016-08-24,1105.6
2016-08-25,1111.95
2016-08-26,1114.85
2016-08-27,1117.5
2016-08-28,1120.15
2016-08-29,1122.8
2016-08-30,1126.2
2016-08-31,1131.9
2016-09-01,1135.95
2016-09-02,1139.45
2016-09-03,1142.7
2016-09-04,1152.3
2016-09-05,1159.15
2016-09-06,1162.55
2016-09-07,1167.55
2016-09-08,1173.4
2016-09-09,1176.6
2016-09-10,1180.05
2016-09-11,1184.25
2016-09-12,1192.2
2016-09-13,1195.65
2016-09-14,1200.45
2016-09-15,1202.9
2016-09-16,1204.95
2016-09-17,1207.1
2016-09-18,1209.5
2016-09-19,1214.6
2016-09-20,1220.25
2016-09-21,1222.9
2016-09-22,1225.65
2016-09-23,1227.8
2016-09-24,1232.1
2016-09-25,1235.35
2016-09-26,1240
2016-09-27,1242.5
2016-09-28,1245.5
2016-09-29,1249.1
2016-09-30,1254.75
2016-10-01,1257.85
2016-10-02,1261.55
2016-10-03,1267.05
2016-10-04,1271.3
2016-10-05,1274.65
2016-10-06,1277.8
2016-10-07,1283.5
2016-10-08,1286.8
2016-10-09,1294.85
2016-10-10,1300.05
2016-10-11,1305.85
2016-10-12,1309.3
2016-10-13,1312.05
2016-10-14,1315.25
2016-10-15,1318.4
2016-10-16,1324.35
2016-10-17,1329.25
2016-10-18,1334.7
2016-10-19,1340.45
2016-10-20,1344.45
2016-10-21,1348.1
2016-10-22,1350.45
2016-10-23,1355.75
2016-10-24,1362.8
2016-10-25,1365.05
2016-10-26,1367.75
2016-10-27,1370.75
2016-10-28,1373.25
2016-10-29,1376.25
2016-10-30,1383.3
2016-10-31,1393.6
2016-11-01,1397.25
2016-11-02,1401
2016-11-03,1404.25
2016-11-04,1407.25
2016-11-05,1410.45
2016-11-06,1415.6
2016-11-07,1425.6
2016-11-08,1436.25
2016-11-09,1448.35
2016-11-10,1452.4
2016-11-11,1457.05
2016-11-12,1459.4
2016-11-13,1461.15
2016-11-14,1462.9
2016-11-15,1465.05
2016-11-16,1470.15
2016-11-17,1472.35
2016-11-18,1474.85
2016-11-19,1477.85
2016-11-20,1484.25
2016-11-21,1492
2016-11-22,1498
2016-11-23,1501.9
2016-11-24,1505.25
2016-11-25,1508.85
2016-11-26,1511.2
2016-11-27,1519.7
2016-11-28,1527.2
2016-11-29,1532
2016-11-30,1536.1
2016-12-01,1540.9
2016-12-02,1545.25
2016-12-03,1551.8
2016-12-04,1560
2016-12-05,1568.35
2016-12-06,1572.8
2016-12-07,1579
2016-12-08,1583.75
2016-12-09,1586.6
2016-12-10,1589.35
2016-12-11,1599.65
2016-12-12,1606.6
2016-12-13,1609.8
2016-12-14,1613.4
2016-12-15,1616.9
2016-12-16,1619.75
2016-12-17,1623.7
2016-12-18,1630.55
2016-12-19,1640.1
2016-12-20,1647.2
2016-12-21,1650.9
2016-12-22,1658.95
2016-12-23,1664.9
2016-12-24,1666.55
2016-12-25,1667.4
2016-12-26,1668.25
2016-12-27,1669.05
2016-12-28,1669.85
2016-12-29,1670.65
2016-12-30,1671.4
2016-12-31,1672.2
